SSDA Sea &;Sun Techn;ology's Sta;ndard Data;Acquisiti;on softw;are packa;ge rev 2.18;1.06;0.2015;;;
C:\SST_SDA\;CONFIG\CT;M980.SPJ;;;;;;;;;;
19-4-2021 00:00;16:16:30;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
StandardDat;aAcquisit;ion SDA (C);opyright b;y T. Finge;r 1999-2;15;;;;;;
;;;;;;;;;;;;
001 CTM980;001  P  P;ress  dbar;-51.364.800;0,00E+00;17.754;3000000E-;0002  1.8629;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  0.00000000000E+0000
109;16:07:06;19-4-2021;1.54;0.229;0.0323;103.01;14.93;7.22;0.18;-0.05;0.025;11.77
110;16:07:06;19-4-2021;1.6;0.228;0.0323;102.97;14.93;7.22;0.17;-0.05;0.025;11.77
111;16:07:07;19-4-2021;1.63;0.227;0.0323;102.9;14.92;7.22;0.17;-0.05;0.025;11.77
112;16:07:07;19-4-2021;1.72;0.226;0.0323;102.74;14.89;7.22;0.17;-0.05;0.025;11.77
113;16:07:07;19-4-2021;1.75;0.225;0.0323;102.67;14.88;7.22;0.17;-0.05;0.025;11.77
114;16:07:07;19-4-2021;1.81;0.224;0.0323;102.63;14.88;7.23;0.18;-0.05;0.025;11.77
115;16:07:07;19-4-2021;1.84;0.223;0.0323;102.6;14.87;7.23;0.18;-0.05;0.025;11.76
116;16:07:07;19-4-2021;1.84;0.222;0.0323;102.55;14.87;7.23;0.17;-0.05;0.025;11.76
117;16:07:07;19-4-2021;1.86;0.222;0.0323;102.55;14.87;7.23;0.17;-0.05;0.025;11.77
118;16:07:08;19-4-2021;1.91;0.221;0.0323;102.56;14.87;7.23;0.17;-0.05;0.025;11.76
119;16:07:08;19-4-2021;1.93;0.222;0.0323;102.57;14.87;7.23;0.18;-0.05;0.025;11.77
120;16:07:08;19-4-2021;1.99;0.221;0.0323;102.56;14.87;7.23;0.18;-0.05;0.025;11.76
121;16:07:08;19-4-2021;2.07;0.221;0.0323;102.55;14.87;7.23;0.18;-0.05;0.025;11.77
122;16:07:08;19-4-2021;2.07;0.221;0.0323;102.5;14.86;7.23;0.18;-0.05;0.025;11.77
123;16:07:08;19-4-2021;2.11;0.222;0.0323;102.54;14.87;7.23;0.19;-0.05;0.025;11.77
124;16:07:08;19-4-2021;2.2;0.221;0.0323;102.34;14.84;7.23;0.19;-0.05;0.025;11.77
125;16:07:09;19-4-2021;2.22;0.221;0.0323;102.25;14.82;7.23;0.19;-0.05;0.025;11.77
126;16:07:09;19-4-2021;2.25;0.221;0.0323;102.24;14.82;7.23;0.18;-0.05;0.025;11.77
127;16:07:09;19-4-2021;2.32;0.221;0.0323;102.27;14.83;7.23;0.18;-0.05;0.025;11.77
128;16:07:09;19-4-2021;2.29;0.221;0.0323;102.15;14.81;7.23;0.19;-0.05;0.025;11.76
129;16:07:09;19-4-2021;2.36;0.221;0.0323;102.09;14.8;7.23;0.19;-0.05;0.025;11.77
130;16:07:09;19-4-2021;2.38;0.221;0.0323;102.12;14.8;7.23;0.19;-0.05;0.025;11.77
131;16:07:10;19-4-2021;2.41;0.221;0.0323;102.14;14.81;7.23;0.18;-0.05;0.025;11.77
132;16:07:10;19-4-2021;2.43;0.221;0.0323;102.17;14.81;7.23;0.18;-0.05;0.025;11.77
133;16:07:10;19-4-2021;2.48;0.221;0.0323;102.08;14.8;7.23;0.18;-0.05;0.025;11.77
134;16:07:10;19-4-2021;2.5;0.221;0.0323;101.99;14.79;7.24;0.19;-0.05;0.025;11.77
135;16:07:10;19-4-2021;2.52;0.222;0.0323;102;14.79;7.24;0.18;-0.05;0.025;11.76
136;16:07:10;19-4-2021;2.59;0.221;0.0323;101.96;14.78;7.24;0.2;-0.05;0.025;11.77
137;16:07:10;19-4-2021;2.64;0.221;0.0323;101.99;14.79;7.24;0.2;-0.05;0.025;11.77
138;16:07:11;19-4-2021;2.63;0.22;0.0323;102.03;14.79;7.24;0.2;-0.05;0.025;11.77
139;16:07:11;19-4-2021;2.64;0.221;0.0323;101.89;14.77;7.24;0.19;-0.05;0.025;11.77
140;16:07:11;19-4-2021;2.66;0.221;0.0323;101.88;14.77;7.24;0.19;-0.05;0.025;11.76
141;16:07:11;19-4-2021;2.77;0.221;0.0323;101.87;14.77;7.24;0.2;-0.05;0.025;11.77
142;16:07:11;19-4-2021;2.79;0.223;0.0323;101.85;14.77;7.24;0.21;-0.05;0.025;11.76
143;16:07:11;19-4-2021;2.84;0.222;0.0323;101.88;14.77;7.24;0.21;-0.05;0.025;11.77
144;16:07:12;19-4-2021;2.93;0.222;0.0323;101.88;14.77;7.24;0.21;-0.05;0.025;11.77
145;16:07:12;19-4-2021;2.96;0.222;0.0323;101.86;14.77;7.24;0.21;-0.05;0.025;11.77
146;16:07:12;19-4-2021;3;0.223;0.0323;101.91;14.77;7.24;0.23;-0.05;0.025;11.77
147;16:07:12;19-4-2021;3.02;0.223;0.0323;101.89;14.77;7.24;0.22;-0.05;0.025;11.77
148;16:07:12;19-4-2021;3.07;0.223;0.0323;101.84;14.76;7.24;0.2;-0.05;0.025;11.77
149;16:07:12;19-4-2021;3.18;0.222;0.0323;101.83;14.76;7.25;0.21;-0.05;0.025;11.77
150;16:07:12;19-4-2021;3.18;0.221;0.0323;101.81;14.76;7.25;0.22;-0.05;0.025;11.77
151;16:07:13;19-4-2021;3.25;0.222;0.0323;101.83;14.76;7.25;0.22;-0.05;0.025;11.77
152;16:07:13;19-4-2021;3.3;0.223;0.0323;101.76;14.75;7.25;0.22;-0.05;0.025;11.77
153;16:07:13;19-4-2021;3.3;0.223;0.0323;101.72;14.75;7.25;0.23;-0.05;0.025;11.77
154;16:07:13;19-4-2021;3.35;0.223;0.0323;101.75;14.75;7.25;0.24;-0.04;0.025;11.76
155;16:07:13;19-4-2021;3.41;0.223;0.0323;101.83;14.76;7.25;0.23;-0.05;0.025;11.77
156;16:07:13;19-4-2021;3.48;0.222;0.0323;101.81;14.76;7.25;0.24;-0.01;0.025;11.77
157;16:07:14;19-4-2021;3.51;0.223;0.0323;101.76;14.75;7.25;0.22;-0.03;0.025;11.77
158;16:07:14;19-4-2021;3.57;0.223;0.0324;101.69;14.74;7.25;0.23;-0.05;0.0251;11.77
159;16:07:14;19-4-2021;3.62;0.223;0.0323;101.68;14.74;7.25;0.23;-0.05;0.025;11.76
160;16:07:14;19-4-2021;3.69;0.224;0.0323;101.67;14.74;7.25;0.24;-0.05;0.025;11.77
161;16:07:14;19-4-2021;3.69;0.223;0.0323;101.71;14.75;7.25;0.23;-0.05;0.025;11.76
162;16:07:14;19-4-2021;3.76;0.224;0.0323;101.79;14.76;7.25;0.25;-0.05;0.025;11.76
163;16:07:14;19-4-2021;3.8;0.224;0.0323;101.75;14.75;7.25;0.28;-0.05;0.025;11.77
164;16:07:15;19-4-2021;3.87;0.224;0.0323;101.76;14.75;7.25;0.26;-0.05;0.025;11.76
